go,cluster,parent,parentSimScore,score,size,term,parentTerm
GO:0051246,4,GO:0051252,0.708,4.782844286162365,0,regulation of protein metabolic process,regulation of RNA metabolic process
GO:0007420,1,GO:0032502,0.315,4.782844286162365,3,brain development,developmental process
GO:0042306,37,GO:0032879,0.648,4.782844286162365,0,regulation of protein import into nucleus,regulation of localization
GO:1901566,7,GO:0019538,0.6,4.782844286162365,2,organonitrogen compound biosynthetic process,protein metabolic process
GO:0048699,22,GO:0048731,0.89,4.782844286162365,2,generation of neurons,system development
GO:0007169,12,GO:0007165,0.566,4.782844286162365,79,transmembrane receptor protein tyrosine kinase signaling pathway,signal transduction
GO:0014070,10,GO:0070887,0.543,4.782844286162365,1,response to organic cyclic compound,cellular response to chemical stimulus
GO:0032386,37,GO:0032879,0.797,4.782844286162365,0,regulation of intracellular transport,regulation of localization
GO:0006793,36,GO:0006796,0.922,4.782844286162365,0,phosphorus metabolic process,phosphate-containing compound metabolic process
GO:0016137,38,GO:1901657,0.906,4.782844286162365,0,glycoside metabolic process,glycosyl compound metabolic process
GO:0018958,32,GO:1901615,0.872,4.782844286162365,0,phenol-containing compound metabolic process,organic hydroxy compound metabolic process
GO:0045596,1,GO:0032502,0.404,4.782844286162365,3,negative regulation of cell differentiation,developmental process
GO:0016071,3,GO:0046483,0.557,4.782844286162365,5,mRNA metabolic process,heterocycle metabolic process
GO:0019377,34,GO:0006629,0.574,4.782844286162365,0,glycolipid catabolic process,lipid metabolic process
GO:0022008,22,GO:0048731,0.894,4.782844286162365,3,neurogenesis,system development
GO:0048585,23,GO:0048583,0.861,4.782844286162365,0,negative regulation of response to stimulus,regulation of response to stimulus
GO:0018193,8,GO:0043412,0.72,4.782844286162365,1,peptidyl-amino acid modification,macromolecule modification
GO:0006281,23,GO:0048583,0.335,4.782844286162365,142,DNA repair,regulation of response to stimulus
GO:0007610,41,GO:0007610,0.977,4.782844286162365,18,behavior,behavior
GO:0051223,37,GO:0032879,0.752,4.782844286162365,1,regulation of protein transport,regulation of localization
GO:0009617,40,GO:0043207,0.884,4.782844286162365,0,response to bacterium,response to external biotic stimulus
GO:0009057,28,GO:0009056,0.865,4.782844286162365,0,macromolecule catabolic process,catabolic process
GO:0007507,22,GO:0048731,0.532,4.782844286162365,4,heart development,system development
GO:0003007,22,GO:0048731,0.488,4.782844286162365,2,heart morphogenesis,system development
GO:0007017,42,GO:0007017,0.983,4.782844286162365,41,microtubule-based process,microtubule-based process
GO:0043603,9,GO:0006725,0.321,4.782844286162365,0,cellular amide metabolic process,cellular aromatic compound metabolic process
GO:0032101,21,GO:0009605,0.752,4.782844286162365,0,regulation of response to external stimulus,response to external stimulus
GO:0071396,10,GO:0070887,0.539,4.782844286162365,0,cellular response to lipid,cellular response to chemical stimulus
GO:0007423,18,GO:0009887,0.671,4.782844286162365,2,sensory organ development,animal organ morphogenesis
GO:0002682,43,GO:0002682,0.999,4.782844286162365,0,regulation of immune system process,regulation of immune system process
GO:0060341,37,GO:0032879,0.891,4.782844286162365,2,regulation of cellular localization,regulation of localization
GO:0006664,34,GO:0006629,0.685,4.782844286162365,1,glycolipid metabolic process,lipid metabolic process
GO:0002376,43,GO:0002682,0.754,4.782844286162365,24,immune system process,regulation of immune system process
GO:0044087,17,GO:0016043,0.509,4.782844286162365,3,regulation of cellular component biogenesis,cellular component organization
GO:0042325,36,GO:0006796,0.602,4.782844286162365,1,regulation of phosphorylation,phosphate-containing compound metabolic process
GO:0019220,36,GO:0006796,0.619,4.782844286162365,0,regulation of phosphate metabolic process,phosphate-containing compound metabolic process
GO:0032504,30,GO:0044703,0.498,4.782844286162365,24,multicellular organism reproduction,multi-organism reproductive process
GO:0022603,1,GO:0032502,0.486,4.782844286162365,0,regulation of anatomical structure morphogenesis,developmental process
GO:0050878,15,GO:0065008,0.582,4.782844286162365,0,regulation of body fluid levels,regulation of biological quality
GO:0090068,29,GO:0051726,0.833,4.782844286162365,0,positive regulation of cell cycle process,regulation of cell cycle
GO:0042127,33,GO:0008283,0.962,4.782844286162365,14,regulation of cell population proliferation,cell population proliferation
GO:0016567,8,GO:0043412,0.653,4.782844286162365,210,protein ubiquitination,macromolecule modification
GO:0008285,33,GO:0008283,0.834,4.782844286162365,7,negative regulation of cell population proliferation,cell population proliferation
GO:0031667,21,GO:0009605,0.688,4.782844286162365,0,response to nutrient levels,response to external stimulus
GO:0090087,37,GO:0032879,0.661,4.782844286162365,6,regulation of peptide transport,regulation of localization
