category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_bh,under_represented_bh,enrichment_direction
GO:0042119,1.5512157873951356e-6,0.9999995189123304,55,253,neutrophil activation,BP,4.2355231472597765e-4,1,over
GO:0002275,1.5601667624147556e-6,0.999999385262331,56,259,myeloid cell activation involved in immune response,BP,4.2355231472597765e-4,1,over
GO:0000375,1.74186351748724e-6,0.999999286704089,62,293,"RNA splicing, via transesterification reactions",BP,4.6631137916064647e-4,1,over
GO:0065008,1.866931611551044e-6,0.9999989743636893,284,1956,regulation of biological quality,BP,4.929466686663887e-4,1,over
GO:0036230,1.9990526885425974e-6,0.9999993755882611,55,255,granulocyte activation,BP,5.20699196914305e-4,1,over
GO:0002443,2.0550294489559105e-6,0.9999991676852222,59,281,leukocyte mediated immunity,BP,5.28142568381669e-4,1,over
GO:0043299,2.3946724514583467e-6,0.9999990498995281,55,256,leukocyte degranulation,BP,6.073330460771004e-4,1,over
GO:0043312,3.0155632343909877e-6,0.9999988028513959,54,251,neutrophil degranulation,BP,7.451920684985421e-4,1,over
GO:0002444,3.1756689841157467e-6,0.9999987283130093,55,259,myeloid leukocyte mediated immunity,BP,7.748230337826711e-4,1,over
GO:0022900,3.7703841607814265e-6,0.9999987655794466,31,110,electron transport chain,BP,8.651685083221666e-4,1,over
GO:0006376,3.841923713913234e-6,0.9999995491486475,12,24,mRNA splice site recognition,BP,8.65326505007799e-4,1,over
GO:0009141,3.950647597441572e-6,0.9999984528411975,41,169,nucleoside triphosphate metabolic process,BP,8.65326505007799e-4,1,over
GO:0032940,4.273609871769291e-6,0.9999978167343684,91,507,secretion by cell,BP,9.152647808705898e-4,1,over
GO:0002446,4.5490958545926755e-6,0.9999981692100225,54,255,neutrophil mediated immunity,BP,9.63558490079932e-4,1,over
GO:0044085,4.67678415812362e-6,0.9999968946189747,256,1734,cellular component biogenesis,BP,9.798371157373129e-4,1,over
GO:0046034,5.5573715374312074e-06,0.9999980163474368,34,131,ATP metabolic process,BP,0.0011518100686450164,1,over
GO:0042776,6.486591131871531e-6,0.9999995615214115,9,14,proton motive force-driven mitochondrial ATP synthesis,BP,0.0013160952007034079,1,over
GO:0051641,6.729955421200833e-6,0.9999955657800969,231,1560,cellular localization,BP,0.0013512488619129798,1,over
