category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_bh,under_represented_bh
GO:0072175,0.2601033809581909,0.829113507188445,13,95,epithelial tube formation,BP,1,1
GO:0048593,0.26022321426709655,0.8450979689152452,9,62,camera-type eye morphogenesis,BP,1,1
GO:0050855,0.2602532366009282,0.9326674265369916,2,9,regulation of B cell receptor signaling pathway,BP,1,1
GO:1990416,0.260335157399911,0.9326319778704415,2,9,cellular response to brain-derived neurotrophic factor stimulus,BP,1,1
GO:0032958,0.26040522645736847,0.9326016509601608,2,9,inositol phosphate biosynthetic process,BP,1,1
GO:0034377,0.26072904328371677,0.9324614178895247,2,9,plasma lipoprotein particle assembly,BP,1,1
GO:0033299,0.26079679086400354,0.9324320621948344,2,9,secretion of lysosomal enzymes,BP,1,1
GO:0010640,0.26080047653191407,0.9324304649925996,2,9,regulation of platelet-derived growth factor receptor signaling pathway,BP,1,1
GO:0034349,0.2611255544362137,0.9322895234913835,2,9,glial cell apoptotic process,BP,1,1
GO:0050810,0.26114816981493594,0.849926443835834,8,55,regulation of steroid biosynthetic process,BP,1,1
GO:0006506,0.26178635589590316,0.8877257200473238,4,23,GPI anchor biosynthetic process,BP,1,1
GO:1903147,0.26184439524408976,0.9319773879927973,2,9,negative regulation of autophagy of mitochondrion,BP,1,1
GO:0021511,0.26191126193026765,0.905438008812655,3,16,spinal cord patterning,BP,1,1
GO:0090160,0.26204279241881595,0.9318911250642542,2,9,Golgi to lysosome transport,BP,1,1
GO:0043632,0.26228041240393096,0.7904515958299325,41,331,modification-dependent macromolecule catabolic process,BP,1,1
GO:0042745,0.26229893956542094,0.931779679046183,2,9,circadian sleep/wake cycle,BP,1,1
GO:0006906,0.2626811762304667,0.8383072995647596,10,71,vesicle fusion,BP,1,1
GO:0051209,0.2631877035026911,0.8864692321184097,4,24,release of sequestered calcium ion into cytosol,BP,1,1
GO:0007186,0.26363053385243784,0.8101621748718235,20,154,G protein-coupled receptor signaling pathway,BP,1,1
GO:0051447,0.26369025223874804,0.8865645012258004,4,23,negative regulation of meiotic cell cycle,BP,1,1
GO:0035556,0.2643173277182973,0.7752378327305238,77,645,intracellular signal transduction,BP,1,1
GO:0090481,0.2645567456210567,0.9307937577204501,2,9,pyrimidine nucleotide-sugar transmembrane transport,BP,1,1
GO:0098743,0.2649357236749308,0.9306276377442874,2,9,cell aggregation,BP,1,1
GO:0042157,0.2652930355232971,0.8411945846714511,9,63,lipoprotein metabolic process,BP,1,1
GO:0071346,0.26541568674771654,0.8617765878998058,6,39,cellular response to type II interferon,BP,1,1
GO:0051495,0.2656476777742087,0.8216186935559546,14,105,positive regulation of cytoskeleton organization,BP,1,1
GO:0010830,0.266054108831261,0.8851169460393212,4,23,regulation of myotube differentiation,BP,1,1
GO:0032649,0.2663265707884472,0.9300164239999118,2,9,regulation of type II interferon production,BP,1,1
GO:0007362,0.2663859816220013,0.9299902612322336,2,9,terminal region determination,BP,1,1
