gene,category
Montipora_capitata_HIv3___TS.g26835.t1,ko05214
Montipora_capitata_HIv3___TS.g26835.t1,ko05216
Montipora_capitata_HIv3___TS.g26835.t1,ko05217
Montipora_capitata_HIv3___TS.g26835.t1,ko05218
Montipora_capitata_HIv3___TS.g26835.t1,ko05220
Montipora_capitata_HIv3___TS.g26835.t1,ko05222
Montipora_capitata_HIv3___TS.g26835.t1,ko05223
Montipora_capitata_HIv3___TS.g26835.t1,ko05224
Montipora_capitata_HIv3___TS.g26835.t1,ko05225
Montipora_capitata_HIv3___TS.g26835.t1,ko05226
Montipora_capitata_HIv3___RNAseq.g5124.t1,ko03010
Montipora_capitata_HIv3___RNAseq.g5130.t1,ko04071
Montipora_capitata_HIv3___RNAseq.g5130.t1,ko04140
Montipora_capitata_HIv3___RNAseq.g5130.t1,ko04142
Montipora_capitata_HIv3___RNAseq.g5130.t1,ko04210
Montipora_capitata_HIv3___RNAseq.g5130.t1,ko04915
Montipora_capitata_HIv3___RNAseq.g5130.t1,ko05152
Montipora_capitata_HIv3___RNAseq.g5150.t1,ko03015
Montipora_capitata_HIv3___RNAseq.g5150.t1,ko04022
Montipora_capitata_HIv3___RNAseq.g5150.t1,ko04024
Montipora_capitata_HIv3___RNAseq.g5150.t1,ko04113
Montipora_capitata_HIv3___RNAseq.g5150.t1,ko04114
Montipora_capitata_HIv3___RNAseq.g5150.t1,ko04144
Montipora_capitata_HIv3___RNAseq.g5150.t1,ko04218
Montipora_capitata_HIv3___RNAseq.g5150.t1,ko04261
Montipora_capitata_HIv3___RNAseq.g5150.t1,ko04270
Montipora_capitata_HIv3___RNAseq.g5150.t1,ko04390
Montipora_capitata_HIv3___RNAseq.g5150.t1,ko04510
Montipora_capitata_HIv3___RNAseq.g5150.t1,ko04611
Montipora_capitata_HIv3___RNAseq.g5150.t1,ko04720
Montipora_capitata_HIv3___RNAseq.g5150.t1,ko04728
Montipora_capitata_HIv3___RNAseq.g5150.t1,ko04750
Montipora_capitata_HIv3___RNAseq.g5150.t1,ko04810
Montipora_capitata_HIv3___RNAseq.g5150.t1,ko04910
Montipora_capitata_HIv3___RNAseq.g5150.t1,ko04915
Montipora_capitata_HIv3___RNAseq.g5150.t1,ko04921
Montipora_capitata_HIv3___RNAseq.g5150.t1,ko04931
Montipora_capitata_HIv3___RNAseq.g5150.t1,ko05031
Montipora_capitata_HIv3___RNAseq.g5150.t1,ko05034
Montipora_capitata_HIv3___RNAseq.g5150.t1,ko05168
Montipora_capitata_HIv3___RNAseq.g5150.t1,ko05205
Montipora_capitata_HIv3___RNAseq.g5152.t1,ko03015
Montipora_capitata_HIv3___RNAseq.g5152.t1,ko04022
