go,cluster,parent,score,size,term,parentTerm,termUniqueness,termUniquenessWithinCluster,termDispensability
GO:0006406,8,GO:0051649,1.8683797352505014,28,mRNA export from nucleus,establishment of localization in cell,0.783918918918919,0.3155,0.64
GO:0048518,6,GO:0065007,1.864566756750407,1209,positive regulation of biological process,biological regulation,0.9646756756756757,0.6645,0.44
GO:0007007,3,GO:0016043,1.8611374207507505,20,inner mitochondrial membrane organization,cellular component organization,0.9361216216216216,0.4457,0.409
GO:0033036,19,GO:0045184,1.8440836476658524,887,macromolecule localization,establishment of protein localization,0.8601486486486487,0.32866666666666666,0.864
GO:0051246,23,GO:0051246,1.7954826921691756,232,regulation of protein metabolic process,regulation of protein metabolic process,0.8893175675675675,0.6895,0
GO:0045333,4,GO:0006119,1.7954826921691756,78,cellular respiration,oxidative phosphorylation,0.8915472972972973,0.1771111111111111,0.955
GO:0006405,8,GO:0051649,1.757755312424233,39,RNA export from nucleus,establishment of localization in cell,0.8452162162162162,0.29500000000000004,0.668
GO:0051049,21,GO:0060341,1.7520167043896238,230,regulation of transport,regulation of cellular localization,0.8742905405405406,0.37949999999999995,0.859
GO:0031102,9,GO:0050896,1.7462546890187738,38,neuron projection regeneration,response to stimulus,0.9120405405405405,0.6586,0.336
GO:2001244,24,GO:2001244,1.7259563143611014,1,positive regulation of intrinsic apoptotic signaling pathway,positive regulation of intrinsic apoptotic signaling pathway,0.9567297297297297,1,0
GO:0006353,14,GO:0006369,1.7143676787288644,13,DNA-templated transcription termination,termination of RNA polymerase II transcription,0.8985878378378378,0.5195000000000001,0.961
GO:0043170,5,GO:0008152,1.7091618963309345,4155,macromolecule metabolic process,metabolic process,0.8853716216216216,0.6088,0.563
GO:0006611,8,GO:0051649,1.707797305912026,8,protein export from nucleus,establishment of localization in cell,0.8682027027027027,0.382,0.566
GO:0015980,4,GO:0006119,1.707797305912026,106,energy derivation by oxidation of organic compounds,oxidative phosphorylation,0.8908918918918919,0.18588888888888888,0.931
GO:0042407,3,GO:0016043,1.693580338414323,5,cristae formation,cellular component organization,0.9412027027027027,0.4887,0.363
GO:1902600,25,GO:1902600,1.6889118034295887,65,proton transmembrane transport,proton transmembrane transport,0.9097500000000001,1,0
GO:0050794,6,GO:0065007,1.6889118034295887,4097,regulation of cellular process,biological regulation,0.9417364864864864,0.55475,0.657
GO:0015833,26,GO:0015833,1.6889118034295887,18,peptide transport,peptide transport,0.9079324324324325,0.4983333333333333,0
GO:0070727,19,GO:0045184,1.6846656573478955,738,cellular macromolecule localization,establishment of protein localization,0.8362905405405405,0.30879999999999996,0.902
GO:0002376,15,GO:0002252,1.6813891356359827,369,immune system process,immune effector process,0.9847567567567568,0.45266666666666666,0.656
GO:0045047,19,GO:0045184,1.673632626052918,20,protein targeting to ER,establishment of protein localization,0.8682229729729729,0.3643333333333334,0.709
