category,universegenes,universecount
GO:0001067,,270
GO:0001069,,4
GO:0001075,,1
GO:0001076,,33
GO:0001077,,99
GO:0001078,,27
GO:0001085,,90
GO:0001091,,16
GO:0001092,,1
GO:0001093,,1
GO:0001094,,10
GO:0001096,,3
GO:0001097,,2
GO:0001098,,36
GO:0001099,,36
GO:0001101,,208
GO:0001102,,26
GO:0001103,,19
GO:0001109,,8
GO:0001111,,8
GO:0001112,,8
GO:0001113,,7
GO:0001120,,8
GO:0001128,,1
GO:0001129,,8
GO:0001132,,8
GO:0001134,,6
GO:0001135,,5
GO:0001147,,1
GO:0001156,,1
GO:0001158,,36
GO:0001160,,1
GO:0001161,,3
GO:0001162,,2
GO:0001163,,6
GO:0001164,,5
GO:0001173,,1
GO:0001174,,1
GO:0001178,,4
GO:0001179,,2
GO:0001181,,2
GO:0001188,,7
GO:0001190,,5
GO:0001191,,8
GO:0001192,,2
GO:0001193,,2
GO:0001205,,9
GO:0001206,,2
GO:0001221,,17
GO:0001222,,6
GO:0001223,,9
GO:0001224,,7
GO:0001225,,3
GO:0001226,,4
GO:0001227,,48
GO:0001228,,123
GO:0001300,,3
GO:0001302,,4
GO:0001306,,4
GO:0001315,,2
GO:0001325,,7
GO:0001401,,2
GO:0001405,,2
GO:0001408,,3
GO:0001409,,3
GO:0001501,,184
GO:0001502,,7
GO:0001503,,85
GO:0001504,,11
GO:0001505,,228
GO:0001508,,41
GO:0001510,,50
GO:0001514,,4
GO:0001516,,17
GO:0001519,,1
GO:0001520,,4
GO:0001522,,13
GO:0001523,,35
GO:0001525,,108
GO:0001527,,1
GO:0001530,,7
GO:0001533,,2
GO:0001534,,3
GO:0001537,,2
GO:0001539,,22
GO:0001540,,19
GO:0001541,,33
GO:0001542,,4
GO:0001544,,1
GO:0001545,,1
GO:0001546,,1
GO:0001547,,6
GO:0001550,,4
GO:0001552,,3
GO:0001553,,6
GO:0001555,,5
GO:0001556,,19
GO:0001558,,262
GO:0001560,,2
GO:0001561,,5
GO:0001562,,4
GO:0001565,,2
GO:0001566,,1
GO:0001568,,204
GO:0001569,,18
GO:0001570,,34
GO:0001575,,1
GO:0001578,,95
GO:0001579,,3
GO:0001580,,3
GO:0001581,,1
GO:0001614,,2
GO:0001618,,3
GO:0001635,,1
GO:0001637,,1
GO:0001639,,2
GO:0001640,,2
GO:0001641,,2
GO:0001642,,2
GO:0001649,,33
GO:0001650,,87
GO:0001651,,4
GO:0001652,,5
GO:0001653,,18
GO:0001654,,382
GO:0001655,,207
GO:0001656,,24
GO:0001657,,34
GO:0001658,,20
GO:0001659,,7
GO:0001661,,6
GO:0001662,,15
GO:0001664,,72
GO:0001666,,185
GO:0001667,,206
GO:0001669,,35
GO:0001671,,25
GO:0001672,,14
GO:0001673,,9
GO:0001674,,17
GO:0001675,,11
GO:0001676,,65
GO:0001678,,54
GO:0001680,,1
GO:0001681,,1
GO:0001682,,9
GO:0001691,,3
GO:0001696,,1
GO:0001700,,111
GO:0001701,,198
GO:0001702,,15
GO:0001703,,27
GO:0001704,,76
GO:0001705,,1
GO:0001706,,33
GO:0001707,,53
GO:0001708,,93
GO:0001709,,108
GO:0001710,,14
GO:0001711,,24
GO:0001712,,1
GO:0001713,,1
GO:0001714,,14
GO:0001725,,31
GO:0001726,,79
GO:0001727,,3
GO:0001729,,2
GO:0001731,,9
GO:0001732,,3
GO:0001734,,2
GO:0001735,,1
GO:0001736,,58
GO:0001737,,15
GO:0001738,,76
GO:0001739,,3
GO:0001740,,2
GO:0001741,,11
GO:0001742,,2
GO:0001743,,3
GO:0001744,,1
GO:0001745,,144
GO:0001746,,5
GO:0001748,,2
GO:0001750,,32
GO:0001751,,75
GO:0001752,,20
GO:0001754,,105
GO:0001755,,25
GO:0001756,,42
GO:0001757,,4
GO:0001758,,4
GO:0001759,,6
GO:0001760,,1
GO:0001763,,108
GO:0001764,,68
GO:0001765,,4
GO:0001766,,1
GO:0001767,,4
GO:0001768,,2
GO:0001770,,2
GO:0001771,,5
GO:0001772,,12
GO:0001773,,9
GO:0001774,,4
GO:0001775,,428
GO:0001776,,40
GO:0001777,,1
GO:0001778,,4
GO:0001779,,3
GO:0001780,,2
GO:0001782,,27
GO:0001783,,6
GO:0001784,,29
GO:0001786,,23
GO:0001803,,1
GO:0001805,,1
GO:0001810,,1
GO:0001812,,1
GO:0001816,,59
GO:0001817,,195
GO:0001818,,77
GO:0001819,,112
GO:0001820,,5
GO:0001821,,3
GO:0001822,,159
GO:0001823,,34
GO:0001824,,50
GO:0001825,,21
GO:0001826,,4
GO:0001827,,2
GO:0001828,,1
GO:0001829,,13
GO:0001830,,2
GO:0001831,,3
GO:0001832,,16
GO:0001833,,10
GO:0001834,,2
GO:0001835,,3
GO:0001836,,14
GO:0001837,,35
GO:0001838,,83
GO:0001839,,6
GO:0001840,,9
GO:0001841,,75
GO:0001842,,4
GO:0001843,,57
GO:0001844,,1
GO:0001845,,15
GO:0001846,,5
GO:0001848,,5
GO:0001849,,2
GO:0001851,,2
GO:0001855,,1
GO:0001867,,1
GO:0001868,,2
GO:0001869,,2
GO:0001871,,4
GO:0001878,,11
GO:0001880,,6
GO:0001881,,7
GO:0001882,,112
GO:0001883,,111
GO:0001884,,1
GO:0001885,,22
GO:0001886,,4
GO:0001887,,6
GO:0001888,,1
GO:0001889,,116
GO:0001890,,74
GO:0001891,,14
GO:0001892,,35
GO:0001893,,18
GO:0001894,,133
GO:0001895,,50
GO:0001906,,10
GO:0001907,,1
GO:0001909,,8
GO:0001910,,14
GO:0001911,,4
GO:0001912,,9
GO:0001913,,3
GO:0001914,,5
GO:0001915,,1
GO:0001916,,4
GO:0001917,,25
GO:0001918,,1
GO:0001919,,15
GO:0001921,,10
GO:0001922,,5
